n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
337,-20.0,-13.85,-9.0,2779.2,8816.666,9.361047983169556
338,-20.0,-13.86,-9.0,2780.14,8720.691,10.244502544403076
339,-20.0,-13.78,-9.0,2800.65,8760.95,10.08950424194336
340,-20.0,-13.78,-9.0,2800.65,8706.903,10.280595541000366
341,-20.0,-13.72,-9.0,2806.19,8698.794,10.372824430465698
342,-20.0,-13.71,-9.0,2809.36,8820.262,10.50745177268982
343,-20.0,-13.71,-9.0,2809.36,8889.912,10.795904159545898
344,-20.0,-13.75,-9.0,2812.24,8761.947,10.2856605052948
345,-18.0,-13.73,-9.0,2818.88,8627.461,9.004685401916504
346,-18.0,-13.73,-9.0,2818.88,8622.066,9.432294845581055
347,-18.0,-13.77,-9.0,2817.38,8670.465,9.903595209121704
348,-18.0,-13.7,-9.0,2827.05,8643.427,10.025699138641357
349,-18.0,-13.7,-9.0,2827.05,8505.573,8.66325068473816
350,-18.0,-13.67,-9.0,2831.82,8413.204,9.35382604598999
351,-18.0,-13.62,-9.0,2839.71,8435.473,10.566668033599854
352,-18.0,-13.62,-9.0,2839.71,8444.626,10.577830076217651
353,-18.0,-13.6,-9.0,2839.75,8542.673,11.822914361953735
354,-18.0,-13.56,-9.0,2845.81,8565.505,10.517377853393555
355,-18.0,-13.56,-9.0,2845.81,8512.595,8.487596273422241
356,-18.0,-13.5,-9.0,2849.82,8763.293,11.944846868515015
357,-18.0,-13.5,-9.0,2853.76,8749.681,9.741985082626343
358,-18.0,-13.5,-9.0,2853.76,8697.583,9.49522614479065
359,-18.0,-13.5,-9.0,2858.29,8943.294,11.173150062561035
360,-18.0,-13.46,-9.0,2865.04,9048.404,10.369179010391235
361,-18.0,-13.44,-9.0,2863.59,9018.291,10.238824129104614
362,-18.0,-13.38,-9.0,2868.17,9071.558,11.083296060562134
363,-18.0,-13.37,-9.0,2872.34,8993.207,11.006517171859741
364,-18.0,-13.38,-9.0,2868.03,9080.913,11.373389959335327
365,-18.0,-13.47,-9.0,2857.76,9336.638,11.04782509803772
366,-18.0,-13.44,-9.0,2860.3,9152.407,10.073364019393921
367,-18.0,-13.48,-9.0,2861.58,9311.728,11.32646656036377
368,-18.0,-13.44,-9.0,2869.1,9417.831,10.555325269699097
369,-18.0,-13.41,-9.0,2876.98,9356.078,10.528924465179443
370,-18.0,-13.41,-9.0,2878.53,9448.267,11.339518547058105
371,-18.0,-13.46,-9.0,2876.83,9443.954,10.201295137405396
372,-17.0,-13.39,-9.0,2883.69,9505.426,11.714085102081299
373,-17.0,-13.39,-9.0,2883.69,9489.501,10.865482807159424
374,-17.0,-13.28,-9.0,2894.48,9383.568,10.346240282058716
375,-17.0,-13.28,-9.0,2894.48,9299.156,10.22433614730835
376,-17.0,-13.26,-9.0,2900.28,9417.006,11.258628129959106
377,-19.0,-13.2,-6.0,2907.39,9361.624,10.814278364181519
378,-19.0,-13.2,-6.0,2907.39,9417.343,11.117035388946533
379,-19.0,-13.21,-6.0,2910.23,9310.248,9.468657493591309
380,-19.0,-13.02,-6.0,2930.84,9050.923,8.721460819244385
381,-19.0,-13.02,-6.0,2930.84,8897.626,8.703763484954834
382,-19.0,-13.02,-6.0,2932.92,8699.142,9.735393762588501
383,-19.0,-13.01,-6.0,2938.16,8571.193,9.603385925292969
384,-19.0,-13.01,-6.0,2938.16,8443.002,9.010416030883789
385,-19.0,-13.0,-6.0,2933.41,8483.108,10.621946096420288
386,-19.0,-12.96,-6.0,2931.56,8359.751,10.029939651489258
